generation,N_shifts,logPrior,logLik,eventRate,acceptRate
669850000,141,1146.88,-599.431,119.328,0.261
669900000,139,1119.01,-545.113,146.435,0.236
669950000,83,643.855,-585.444,78.7341,0.221
670000000,65,516.886,-558.804,59.1971,0.223
670050000,91,733.386,-569.676,94.5241,0.227
670100000,130,1048.19,-592.036,120.194,0.228
670150000,110,881.414,-605.581,108.859,0.257
670200000,103,826.764,-587.694,86.8378,0.254
670250000,109,885.683,-503.828,103.393,0.235
670300000,112,908.958,-502.158,87.4594,0.239
670350000,103,816.781,-544.163,108.868,0.244
670400000,95,785.424,-615.577,95.1092,0.267
670450000,145,1180.69,-590.266,141.862,0.264
670500000,107,848.254,-589.61,115.203,0.258
670550000,107,844.356,-618.426,95.453,0.245
670600000,115,925.115,-581.52,107.221,0.229
670650000,139,1107.38,-567.613,126.73,0.227
670700000,117,928.153,-505.425,94.0526,0.219
670750000,148,1187.91,-522.939,145.228,0.237
670800000,143,1148.75,-436.324,130.243,0.221
670850000,137,1090,-460.087,112.048,0.239
670900000,123,988.323,-507.817,120.396,0.247
670950000,129,1032.39,-478.095,134.023,0.228
671000000,118,929.566,-491.847,114.612,0.238
671050000,122,1009.89,-499.647,112.205,0.236
671100000,127,997.474,-456.443,112.443,0.23
671150000,125,1004.59,-437.269,131.729,0.233
671200000,149,1194.14,-554.183,155.462,0.232
671250000,158,1272.16,-590.829,152.542,0.232
671300000,135,1098.76,-526.448,123.476,0.225
671350000,117,917.859,-471.136,107.495,0.243
671400000,115,916.272,-533.459,99.748,0.257
671450000,124,978.046,-478.809,126.35,0.249
671500000,131,1056.86,-593.209,119.166,0.221
671550000,108,852.603,-596.801,99.2627,0.243
671600000,82,651.091,-588.509,74.7822,0.241
671650000,120,938.967,-486.154,101.393,0.243
671700000,131,1054.26,-525.302,118.249,0.232
671750000,150,1221.33,-464.122,139.165,0.224
671800000,117,946.544,-517.584,103.375,0.223
671850000,120,958.121,-510.202,93.1118,0.234
671900000,124,997.781,-563.27,118.698,0.225
671950000,121,983.094,-571.644,122.317,0.23
672000000,115,910.81,-598.566,89.1657,0.23
672050000,119,974.917,-633.947,106.829,0.239
672100000,122,999.21,-572.317,119.392,0.234
672150000,135,1100.95,-564.674,100.367,0.227
672200000,121,981.223,-617.481,121.359,0.249
672250000,98,785.724,-590.281,94.7004,0.232
672300000,128,1033.95,-580.325,109.714,0.268
672350000,157,1239.42,-570.578,131.802,0.25
672400000,142,1141.66,-507.781,127.968,0.231
672450000,123,990.563,-559.763,110.777,0.242
672500000,111,908.438,-488.253,98.1493,0.231
672550000,122,973.666,-507.491,116.25,0.26
672600000,123,992.902,-514.566,106.375,0.236
672650000,126,1015.86,-510.636,96.9511,0.259
672700000,128,1047.43,-518.95,103.559,0.249
672750000,124,1017.09,-534.836,106.625,0.229
672800000,138,1131.88,-466.682,106.671,0.234
672850000,125,1034.51,-455.077,124.385,0.239
672900000,143,1155.45,-494.361,115.022,0.232
672950000,116,920.677,-546.321,108.692,0.246
673000000,132,1081.59,-595.557,118.634,0.226
673050000,132,1066.55,-637.202,108.385,0.267
673100000,149,1208.71,-574.429,127.763,0.251
673150000,117,960.441,-520.762,105.125,0.239
673200000,149,1206.93,-487.896,133.884,0.248
673250000,131,1039.81,-535.977,142.099,0.252
673300000,99,790.908,-551.539,98.5472,0.248
673350000,121,982.6,-559.495,120.011,0.244
673400000,120,960.291,-613.537,115.53,0.246
673450000,135,1083.56,-554.914,122.715,0.246
673500000,140,1142.42,-580.226,161.508,0.255
673550000,110,880.927,-506.7,105.385,0.227
673600000,117,966.028,-518.377,98.2171,0.228
673650000,124,1005.85,-586.537,139.006,0.231
673700000,124,994.213,-619.337,123.762,0.234
673750000,103,841.244,-617.599,96.6503,0.223
673800000,93,736.836,-625.708,85.5774,0.247
673850000,102,805.491,-543.499,84.6511,0.237
673900000,109,873.023,-474.966,98.3699,0.227
673950000,113,935.942,-487.576,113.799,0.246
674000000,122,985.978,-542.325,137.122,0.234
674050000,93,741.425,-531.379,84.7452,0.232
674100000,111,905.795,-491.259,114.532,0.224
674150000,119,987.355,-459.841,97.9942,0.234
674200000,128,1047.22,-561.574,132.079,0.243
674250000,140,1126.73,-490.832,124.044,0.223
674300000,127,1008.79,-494.083,112.38,0.252
674350000,117,945.297,-473.572,104.655,0.215
674400000,152,1242.76,-491.057,149.934,0.231
674450000,131,1041.42,-528.539,112.08,0.224
674500000,147,1187.13,-510.001,131.154,0.243
674550000,138,1098.34,-462.243,114.602,0.205
674600000,155,1268.71,-445.862,131.223,0.252
674650000,140,1154.1,-447.859,110.961,0.252
674700000,158,1285.95,-458.253,150.899,0.238
674750000,112,916.655,-509.036,112.682,0.231
674800000,126,1029.17,-448.683,108.278,0.24
674850000,146,1175.96,-515.36,148.214,0.251
674900000,140,1124.45,-528.704,107.035,0.238
674950000,139,1125.2,-495.94,136.095,0.246
675000000,131,1066.22,-525.605,120.407,0.242
675050000,109,903.764,-489.783,81.9303,0.225
675100000,140,1137.07,-526.41,126.182,0.229
675150000,108,874.64,-500.349,84.2366,0.221
675200000,128,1038.94,-519.411,132.025,0.238
675250000,116,914.031,-506.629,93.0803,0.216
675300000,128,1015.71,-444.928,110.469,0.218
675350000,177,1431.18,-508.954,159.752,0.231
675400000,151,1218.35,-531.303,151.318,0.229
675450000,160,1294.48,-497.806,151.228,0.219
675500000,136,1091.03,-552.903,113.445,0.258
675550000,138,1115.02,-492.241,140.35,0.231
675600000,147,1178.47,-472.347,148.285,0.237
675650000,146,1200.52,-517.731,135.216,0.231
675700000,130,1038.97,-554.186,130.657,0.222
675750000,158,1294.74,-612.392,142.551,0.238
675800000,148,1200.23,-604.556,115.446,0.247
675850000,128,1026.79,-617.552,116.897,0.233
675900000,127,1011.84,-503.083,106.012,0.24
675950000,123,996.039,-550.275,105.035,0.242
676000000,114,922.876,-524.274,100.849,0.247
676050000,118,929.632,-535.371,92.16,0.237
676100000,126,1018.06,-546.357,104.948,0.24
676150000,114,918.188,-577.483,109.95,0.244
676200000,121,961.557,-593.227,121.185,0.23
676250000,139,1088.59,-575.316,138.785,0.256
676300000,136,1104.01,-609.539,122.141,0.237
676350000,109,867.712,-570.311,118.241,0.221
676400000,137,1086.91,-528.686,121.472,0.252
676450000,143,1162.59,-513.607,122.768,0.234
676500000,125,1006.28,-552.949,108.39,0.241
676550000,142,1143.95,-483.555,132.366,0.237
676600000,117,943.383,-463.95,113.042,0.217
676650000,115,942.642,-537.568,94.9963,0.253
676700000,130,1070.19,-435.713,118.046,0.235
676750000,114,922.192,-484.031,105.735,0.218
676800000,107,861.659,-456,88.4251,0.215
676850000,148,1178.97,-378.142,137.174,0.23
676900000,151,1228.13,-444.647,141.052,0.249
676950000,160,1317.8,-402.305,133.292,0.234
677000000,100,811.73,-458.837,90.904,0.216
677050000,134,1082.48,-410.05,128.18,0.243
677100000,161,1285.5,-428.883,145.113,0.248
677150000,119,965.17,-464.809,102.461,0.239
677200000,138,1106.92,-425.834,139.477,0.235
677250000,122,1001.64,-513.828,123.75,0.247
677300000,148,1216.84,-484.383,145.054,0.209
677350000,126,994.322,-500.254,106.775,0.234
677400000,139,1108.09,-508.597,145.515,0.254
677450000,123,977.253,-511.556,116.49,0.235
677500000,123,988.782,-523.77,111.189,0.251
677550000,100,802.989,-553.443,100.675,0.238
677600000,100,807.536,-527.858,89.5365,0.225
677650000,120,955.658,-551.85,104.859,0.236
677700000,93,738.129,-580.202,98.9215,0.243
677750000,104,833.745,-569.998,73.6851,0.247
677800000,97,758.649,-537.093,78.2946,0.261
677850000,79,628.994,-608.422,73.352,0.243
677900000,117,930.069,-593.101,91.1754,0.255
677950000,105,839.42,-590.422,88.7042,0.228
678000000,137,1092.75,-606.076,107.879,0.247
678050000,131,1033.92,-604.222,139.142,0.259
678100000,120,975.939,-540.144,106.126,0.218
678150000,103,833.384,-588.725,100.115,0.245
678200000,120,947.25,-556.398,117.962,0.219
678250000,130,1056.09,-502.463,108.034,0.245
678300000,119,958.901,-508.575,111.587,0.219
678350000,102,827.203,-480.012,95.7486,0.231
678400000,130,1056.99,-528.494,134.811,0.247
678450000,103,822.431,-476.699,102.497,0.263
678500000,135,1103.03,-470.39,122.428,0.232
678550000,105,851.769,-481.695,96.0706,0.212
678600000,113,898.444,-433.878,112.688,0.219
678650000,120,978.195,-430.439,109.926,0.231
678700000,143,1154.16,-476.87,125.898,0.219
678750000,143,1158.63,-506.248,147.171,0.249
678800000,117,936.297,-526.227,105.943,0.238
678850000,110,887.667,-457.281,102.29,0.261
678900000,119,963.236,-420.58,108.27,0.227
678950000,132,1069.35,-516.301,123.703,0.228
679000000,158,1292.78,-567.999,126.221,0.243
679050000,135,1103.78,-493.419,131.823,0.241
679100000,133,1072.46,-526.11,123.491,0.226
679150000,116,919.781,-579.179,114.696,0.244
679200000,145,1184.97,-488.998,134.227,0.246
679250000,169,1350.61,-580.409,149.249,0.247
679300000,135,1098.25,-545.789,117.077,0.23
679350000,147,1207.28,-542.304,129.995,0.256
679400000,157,1279.82,-425.298,132.362,0.225
679450000,131,1046.76,-547.276,117.284,0.249
679500000,114,921.867,-532.837,101.407,0.253
679550000,125,1000.29,-527.297,105.003,0.237
679600000,125,1000.09,-574.413,99.7242,0.256
679650000,143,1159.68,-545.666,134.032,0.256
679700000,173,1391.28,-485.69,162.988,0.25
679750000,129,1037.52,-574.657,127.456,0.235
679800000,145,1152.51,-504.709,126.926,0.247
679850000,149,1208.21,-504.628,126.796,0.231
679900000,151,1234.4,-477.457,146.716,0.235
679950000,124,1016.2,-447.413,119.003,0.232
680000000,147,1191.91,-479.556,119.966,0.234
680050000,145,1205.54,-447.651,119.165,0.239
680100000,158,1285.88,-545.886,141.896,0.243
680150000,108,878.393,-446.535,90.8272,0.222
680200000,115,927.896,-485.92,110.634,0.218
680250000,118,954.112,-503.868,75.7134,0.254
680300000,155,1231.93,-459.797,138.119,0.239
680350000,173,1381.32,-435.79,154.291,0.244
680400000,178,1436.27,-392.148,175.046,0.233
680450000,162,1300.24,-420.902,160.379,0.245
680500000,174,1407.02,-377.36,141.193,0.231
680550000,134,1069.05,-410.886,122.172,0.225
680600000,125,1015.89,-419.199,113.405,0.218
680650000,117,931.022,-495.917,95.5399,0.227
680700000,141,1130.9,-507.955,119.226,0.231
680750000,143,1139.54,-465.633,127.227,0.225
680800000,136,1099.79,-466.031,142.456,0.249
680850000,138,1073.63,-464.932,130.926,0.23
680900000,134,1072.87,-426.962,117.053,0.25
680950000,124,995.104,-539.613,117.373,0.234
681000000,111,885.241,-515.355,102.74,0.236
681050000,113,902.953,-470.934,95.971,0.22
681100000,136,1112.42,-523.307,113.141,0.251
681150000,171,1375.61,-505.847,150.273,0.246
681200000,134,1066.84,-546.223,136.343,0.231
681250000,124,999.606,-540.672,132.213,0.257
681300000,126,1019.65,-452.743,121.568,0.229
681350000,129,1025.15,-474.421,136.946,0.221
681400000,139,1136.36,-429.823,125.088,0.235
681450000,133,1083.02,-481.1,98.8231,0.222
681500000,97,787.255,-514.846,85.9156,0.247
681550000,103,825.746,-480.267,93.772,0.211
681600000,131,1056.11,-524.742,128.261,0.233
681650000,143,1159.57,-481.569,123.564,0.252
681700000,154,1207.34,-505.867,116.792,0.232
681750000,135,1091.23,-504.315,115.794,0.263
681800000,127,1034.03,-543.263,112.354,0.228
681850000,152,1243.97,-504.051,134.063,0.256
681900000,163,1341.06,-604.795,136.698,0.232
681950000,174,1425.5,-514.495,151.053,0.245
682000000,128,1033.04,-462.513,106.94,0.229
682050000,119,953.141,-456.732,107.674,0.243
682100000,136,1089.68,-487.569,131.864,0.244
682150000,150,1207.33,-453.806,116.861,0.26
682200000,141,1130.29,-487.184,126.451,0.232
682250000,146,1188.35,-545.891,126.87,0.254
682300000,145,1165.95,-424.89,137.068,0.244
682350000,156,1241.06,-452.412,145.673,0.251
682400000,156,1235.76,-453.962,143.866,0.25
682450000,124,975.701,-419.425,109.566,0.234
682500000,133,1053.81,-485.271,115.655,0.236
682550000,146,1190.21,-549.819,111.42,0.255
682600000,118,954.959,-502.304,104.918,0.244
682650000,140,1124.49,-493.17,106.229,0.246
682700000,136,1078.28,-527.953,120.565,0.225
682750000,141,1130.21,-546.695,150.4,0.254
682800000,122,992.743,-569.855,122.618,0.25
682850000,112,894.819,-565.296,83.7748,0.241
682900000,126,1021,-559.014,123.903,0.211
682950000,124,1005.93,-553.615,112.642,0.221
683000000,119,967.704,-570.343,101.241,0.205
683050000,117,955.446,-550.006,105.317,0.25
683100000,101,797.352,-559.668,100.227,0.232
683150000,133,1063.04,-570.22,124.532,0.23
683200000,127,1008.9,-526.647,102.641,0.214
683250000,112,898.844,-528.63,94.6856,0.228
683300000,134,1065.7,-540.952,125.064,0.229
683350000,130,1037.75,-476.769,128.571,0.246
683400000,119,939.369,-445.916,94.2521,0.209
683450000,129,1031.85,-496.531,110.585,0.24
683500000,122,968.586,-554.213,104.351,0.241
683550000,130,1040.64,-550.907,106.13,0.222
683600000,121,970.411,-554.823,115.663,0.228
683650000,121,963.865,-590.654,113.355,0.232
683700000,124,1004.36,-555.557,111.621,0.264
683750000,99,786.972,-594.777,80.5388,0.236
683800000,143,1161.7,-555.968,115.533,0.222
683850000,113,914.181,-585.331,97.459,0.22
