generation,rank_1,rank_2,swapAccepted
722000,1,4,0
723000,1,2,0
724000,1,3,0
725000,3,4,0
726000,3,4,0
727000,1,3,0
728000,2,3,0
729000,2,3,0
730000,2,3,0
731000,2,3,0
732000,3,4,0
733000,2,4,0
734000,3,4,0
735000,2,4,0
736000,1,2,0
737000,1,3,0
738000,1,3,0
739000,2,4,0
740000,2,3,0
741000,1,3,0
742000,1,3,0
743000,2,4,0
744000,1,2,0
745000,2,4,0
746000,3,4,0
747000,2,4,0
748000,1,4,0
749000,1,2,0
750000,1,4,0
751000,2,4,0
752000,2,4,0
753000,1,2,0
754000,1,3,0
755000,1,2,0
756000,2,4,0
757000,3,4,0
758000,3,4,0
759000,1,3,0
760000,2,3,0
761000,1,4,0
762000,1,3,0
763000,1,4,0
764000,1,4,0
765000,1,2,0
766000,1,3,0
767000,1,3,0
768000,2,4,0
769000,1,3,0
770000,1,4,0
771000,3,4,0
772000,3,4,0
773000,3,4,0
774000,2,3,0
775000,2,4,0
776000,3,4,0
777000,1,2,0
778000,3,4,0
779000,2,4,0
780000,1,2,0
781000,3,4,0
782000,1,3,0
783000,1,3,0
784000,3,4,0
785000,3,4,0
786000,2,4,0
787000,1,2,0
788000,2,3,0
789000,1,2,0
790000,1,3,0
791000,1,2,0
792000,1,4,0
793000,1,4,0
794000,1,2,0
795000,1,3,0
796000,3,4,0
797000,2,4,0
798000,1,3,0
799000,2,4,0
800000,1,3,0
801000,2,4,0
802000,1,3,0
803000,1,2,0
804000,1,2,0
805000,1,4,0
806000,1,3,0
807000,1,4,0
808000,1,3,0
809000,2,3,0
810000,3,4,0
811000,1,4,0
812000,2,4,0
813000,2,3,0
814000,3,4,0
815000,3,4,0
816000,2,3,0
817000,2,3,0
818000,2,3,0
819000,1,2,0
820000,1,4,0
821000,3,4,0
822000,3,4,0
823000,3,4,0
824000,2,3,0
825000,1,4,0
826000,2,3,0
827000,1,2,0
828000,3,4,0
829000,1,2,0
830000,1,2,0
831000,1,4,0
832000,2,3,0
833000,2,3,0
834000,3,4,0
835000,1,3,0
836000,2,3,0
837000,1,4,0
838000,3,4,0
839000,3,4,0
840000,2,4,0
841000,1,4,0
842000,3,4,0
843000,2,4,0
844000,1,4,0
845000,1,3,0
846000,1,3,0
847000,2,3,0
848000,2,3,0
849000,1,3,0
850000,3,4,0
851000,1,4,0
852000,1,2,0
853000,2,4,0
854000,2,3,0
855000,1,3,0
856000,2,4,0
857000,3,4,0
858000,1,2,0
859000,3,4,0
860000,1,3,0
861000,1,2,0
862000,1,2,0
863000,3,4,0
864000,2,3,0
865000,2,3,0
866000,2,3,0
867000,3,4,0
868000,2,4,0
869000,2,3,0
870000,1,2,0
871000,1,2,0
872000,1,4,0
873000,3,4,0
874000,3,4,0
875000,2,4,0
876000,3,4,0
877000,1,4,0
878000,2,3,0
879000,2,3,0
880000,1,2,0
881000,1,4,0
882000,1,4,0
883000,1,4,0
884000,2,4,0
885000,1,2,0
886000,2,4,0
887000,1,2,0
888000,1,3,0
889000,2,3,0
890000,2,4,0
891000,1,3,0
892000,2,3,0
893000,3,4,0
894000,1,3,0
895000,2,4,0
896000,1,2,0
897000,2,3,0
898000,3,4,0
899000,1,2,0
900000,1,2,0
901000,1,2,0
902000,1,4,0
903000,3,4,0
904000,1,2,0
905000,1,2,0
906000,3,4,0
907000,2,4,0
908000,2,3,0
909000,3,4,0
910000,1,4,0
911000,2,3,0
912000,1,4,0
913000,2,4,0
914000,1,3,0
915000,1,2,0
916000,3,4,0
917000,1,4,0
918000,1,3,0
919000,1,4,0
920000,2,3,0
921000,3,4,0
922000,1,4,0
923000,2,4,0
924000,3,4,0
925000,3,4,0
926000,1,2,0
927000,1,4,0
928000,1,4,0
929000,1,3,0
930000,2,4,0
931000,3,4,0
932000,1,3,0
933000,3,4,0
934000,2,3,0
935000,1,3,0
936000,3,4,0
937000,1,3,0
938000,1,2,0
939000,1,3,0
940000,2,3,0
941000,1,3,0
942000,1,3,0
943000,2,4,0
944000,1,2,0
945000,1,4,0
946000,3,4,0
